state_name,first_name,last_name,spouse,address1,address2,city,state_abbr,zip,phone
South Dakota,Kristi,Noem,Bryon,500 East Capitol Avenue,,Pierre,SD,57501,605-773-3212
Tennessee,Bill,Lee,Maria,State Capitol,,Nashville,TN,37243-0001,615-741-2001
Texas,Greg,Abbott,Cecilia,P.O. Box 12428,,Austin,TX,78711-2428,512-463-2000
Utah,Spencer,Cox,Abby,State Capitol,Suite 200,Salt Lake City,UT,84114,801-538-1000
Vermont,Phil,Scott,Diana,109 State Street,Pavilion Office Building,Montpelier,VT,"05609",802-828-3333
Virginia,Glenn,Youngkin,Suzanne,State Capitol,3rd Floor,Richmond,VA,23219,804-786-2211
Virgin Islands,Albert,Bryan,Yolanda,"Government House, 21-22 Kongens Ga",Charlotte Amalie,St. Thomas,VI,"00802",340-774-0001
Washington,Jay,Inslee,Trudi,P.O. Box 40002,,Olympia,WA,98504-0002,360-902-4111
West Virginia,Jim,Justice,Cathy,1900 Kanawha St.,,Charleston,WV,25305,304-558-2000
Wisconsin,Tony,Evers,Kathy,115 East State Capitol,,Madison,WI,53707,608-266-1212
